,edad,estatura_(cm),fecha_denuncia,hecho_ocurrido_el,raza,sexo,ubigeo
626,6,1.10,"Martes, 17 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Piura,Piura,Castilla"
627,10,1.40,"Miércoles, 18 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Cusco,Cusco,Santiago"
628,15,1.55,"Martes, 17 Septiembre, 2019 - 00:00","Lunes, 16 Septiembre, 2019 - 12:40",,Femenino,"Áncash,Huaylas,Caraz"
629,12,1.65,"Jueves, 19 Septiembre, 2019 - 00:00","Lunes, 16 Septiembre, 2019 - 08:00",TRIGUEÑA,Femenino,Ayacucho
630,9,1.55 ,"Martes, 17 Septiembre, 2019 - 00:00","Lunes, 16 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,Independencia"
631,11,1.50,"Martes, 17 Septiembre, 2019 - 00:00","Lunes, 16 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Villa el Salvador"
632,14,1.62,"Miércoles, 18 Septiembre, 2019 - 00:00","Lunes, 16 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Huarochiri,San Antonio"
633,16,1.50,"Lunes, 16 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"La Libertad,Chepen,Chepen"
634,16,1.70,"Miércoles, 18 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",BLANCA,Masculino,"Lima,Lima,San Juan de Lurigancho"
635,15,1.50,"Lunes, 16 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Junín,Jauja,Sausa"
636,13,1.50,"Lunes, 16 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Junín,Jauja,Sausa"
637,16,1.55,"Lunes, 16 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Junín,Tarma,Tarma"
638,16,1.60,"Domingo, 15 Septiembre, 2019 - 00:00","Domingo, 15 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Anta,Pucyura"
639,16,1.65,"Sábado, 14 Septiembre, 2019 - 00:00","Sábado, 14 Septiembre, 2019 - 08:00",MESTIZA,Masculino,"Lima,Lima,Lima"
640,15,,"Lunes, 16 Septiembre, 2019 - 00:00","Sábado, 14 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Canchis,Sicuani"
641,13,1.57,"Lunes, 16 Septiembre, 2019 - 00:00","Sábado, 14 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Villa Maria del Triunfo"
642,15,1.50,"Domingo, 15 Septiembre, 2019 - 00:00","Sábado, 14 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Los olivos"
643,14,1.55,"Viernes, 13 Septiembre, 2019 - 00:00","Viernes, 13 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Carabayllo"
644,13,1.40,"Viernes, 13 Septiembre, 2019 - 00:00","Viernes, 13 Septiembre, 2019 - 00:00",,Femenino,"Áncash,Huaylas,Caraz"
645,14,1.55,"Viernes, 13 Septiembre, 2019 - 00:00","Viernes, 13 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Chorrillos"
646,15,1.40,"Sábado, 14 Septiembre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 12:30",MESTIZA,Masculino,"Cusco,Cusco,Santiago"
647,15,1.42,"Jueves, 12 Septiembre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 00:00",,Femenino,"Junín,Huancayo,Chilca"
648,10,1.30,"Jueves, 12 Septiembre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 00:00",BLANCA,Masculino,"Lima,Lima,Lima"
649,14,1 ,"Martes, 1 Octubre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,San Juan de Lurigancho"
650,15,1.68,"Viernes, 13 Septiembre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,Ayacucho
651,13,1.55,"Jueves, 12 Septiembre, 2019 - 00:00","Jueves, 12 Septiembre, 2019 - 00:00",,Femenino,"San Martín,El Dorado,San Martín"
652,8,"Miércoles, 11 Septiembre, 2019 - 00:00",Uniforme del colegio San Vicente de Paul,"Miércoles, 11 Septiembre, 2019 - 00:00",GRUESAS,Masculino,
653,16,1.60,"Miércoles, 11 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Comas"
654,15,1.65,"Viernes, 13 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,San Juan de Lurigancho"
655,15,1.55,"Jueves, 12 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cajamarca,Celendín,Chumuch"
656,15,1.62,"Jueves, 12 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Tarma,Tarma"
657,15,1.57,"Sábado, 14 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Santiago de Surco"
658,13,1.52,"Viernes, 13 Septiembre, 2019 - 00:00","Miércoles, 11 Septiembre, 2019 - 00:00",,Femenino,Cajamarca
659,14,1.68,"Martes, 10 Septiembre, 2019 - 00:00","Martes, 10 Septiembre, 2019 - 09:00",TRIGUEÑA,Masculino,"Junín,Huancayo,Chilca"
660,15,1.50,"Domingo, 22 Septiembre, 2019 - 00:00","Martes, 10 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Huánuco,Huánuco,Huánuco"
661,15,1.60,"Miércoles, 11 Septiembre, 2019 - 00:00","Martes, 10 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Cusco,Cusco"
662,15,1.60,"Martes, 10 Septiembre, 2019 - 00:00","Martes, 10 Septiembre, 2019 - 00:00",,Masculino,Tumbes
663,15,1.62,"Miércoles, 11 Septiembre, 2019 - 00:00","Martes, 10 Septiembre, 2019 - 00:00",MORENA,Masculino,"Piura,Sullana"
664,12,1.40,"Lunes, 9 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 12:00",MESTIZA,Masculino,Cusco
665,8,1.20,"Lunes, 9 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Lurigancho"
666,9,1.40,"Martes, 10 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,Lurin"
667,16,1.50,"Martes, 10 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Huancayo"
668,,1.40,"Lunes, 9 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Lurigancho"
669,13,1.50,"Miércoles, 25 Septiembre, 2019 - 00:00","Lunes, 9 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Cusco,Quispicanchi"
670,17,1.70,"Martes, 10 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 16:00",MESTIZA,Masculino,"Lima,Lima,Villa Maria del Triunfo"
671,17,1.65,"Viernes, 13 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 15:19",MESTIZA,Masculino,"Junín,Huancayo,Huancayo"
672,13,1.50,"Domingo, 8 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 07:00",MESTIZA,Femenino,"Cusco,Anta,Huarocondo"
673,17,1.50,"Miércoles, 11 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",,Femenino,"Junín,Chanchamayo,Pichanaqui"
674,14,1.50,"Lunes, 9 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Ate"
675,16,1.65,"Domingo, 8 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MESTIZA,Masculino,Cusco
676,17,1.50,"Domingo, 8 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Santa Anita"
677,12,1.48,"Martes, 10 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MEZTIZA,Masculino,"Junín,Huancayo,Chilca"
678,16,1.55,"Domingo, 8 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",,Femenino,"Loreto,Maynas,Punchana"
679,15,1.49,"Domingo, 8 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,San Juan de Miraflores"
680,16,1.68,"Jueves, 19 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,El Tambo"
681,17,1.75,"Lunes, 9 Septiembre, 2019 - 00:00","Domingo, 8 Septiembre, 2019 - 00:00",TRIGUEÑA,Masculino,"Lima,Huaura,Huacho"
682,11,1.30,"Lunes, 9 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 10:30",MESTIZA,Femenino,"Junín,Satipo,Río Negro"
683,12,1.40,"Domingo, 8 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 10:30",MESTIZA,Femenino,Ayacucho
684,13,1.50,"Miércoles, 11 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,"Lima,Lima,Ate"
685,15,1.70,"Domingo, 8 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,"Lima,Lima,El Agustino"
686,17,1.65,"Domingo, 8 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Chorrillos"
687,15,1.53,"Lunes, 9 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
688,16,1.60,"Miércoles, 18 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Cusco,Cusco,San Sebastián"
689,15,1.50,"Sábado, 7 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Huancayo"
690,16,1.60,"Martes, 10 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
691,17,1.65,"Sábado, 7 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Huancayo"
692,14,1.50,"Martes, 10 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
693,15,1.55,"Martes, 10 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Cusco,Wanchaq"
694,10,1.30,"Domingo, 8 Septiembre, 2019 - 00:00","Sábado, 7 Septiembre, 2019 - 00:00",TRIGUEÑA,Masculino,"Lima,Lima,Lima"
695,13,1.40,"Domingo, 8 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 14:00",MESTIZA,Femenino,Ayacucho
696,17,1.60,"Sábado, 14 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 14:00",MESTIZA,Femenino,"Lima,Lima,Carabayllo"
697,11,1.10,"Sábado, 7 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 09:00",TRIGUEÑA,,"Lima,Lima,Santa Anita"
698,14,1.52,"Domingo, 8 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,San Martin de Porres"
699,17,1.70,"Viernes, 6 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 00:00",COBRIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
700,11,1.10,"Sábado, 7 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 00:00",TRIGUEÑA,Masculino,"Lima,Lima,Santa Anita"
701,14,1.60,"Viernes, 6 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,San Martin de Porres"
702,15,1.60,"Viernes, 6 Septiembre, 2019 - 00:00","Viernes, 6 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,"Lima,Lima,Villa el Salvador"
703,14,1.50,"Martes, 10 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 19:00",TRIGUEÑA,Masculino,"Lima,Lima,San Juan de Lurigancho"
704,15,1.80,"Viernes, 6 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 18:50",,Femenino,"Moquegua,Mariscal Nieto,Moquegua"
705,15,1.45,"Jueves, 5 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Cusco,Santiago"
706,16,1.58,"Viernes, 6 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 00:00",,Femenino,"Lima,Lima,Lima"
